Name,Cost,Position,Team,Games,Chance Of Playing Next,33,34,35,36,37,38,Pts Next 2,Pts Next 3,Pts Next 4,Pts Next 5,Pts Rest Of Season,Pts/Future Matches,current Pts/Match
Fábio Vieira,5.40,MID,Arsenal,0,0,4.00,,2.00,2.00,2.00,3.00,4.00,6.00,8.00,10.00,15.00,3.00,0.000
G.Jesus,6.50,FWD,Arsenal,17,0,6.14,,2.91,2.83,2.91,3.27,6.14,9.05,11.88,14.79,21.03,4.21,2.471
Gabriel,6.20,DEF,Arsenal,28,0,5.73,,2.74,1.67,2.74,7.03,5.73,8.47,10.14,12.88,22.69,4.54,4.179
Havertz,7.70,FWD,Arsenal,21,0,8.32,,3.85,3.68,3.85,4.57,8.32,12.18,15.85,19.70,28.22,5.64,4.571
Hein,4.00,GK,Arsenal,0,0,4.00,,2.00,1.00,2.00,6.00,4.00,6.00,7.00,9.00,17.00,3.40,0.000
J.Timber,5.70,DEF,Arsenal,29,100,4.84,,2.36,1.32,2.36,6.50,4.84,7.19,8.52,10.87,19.75,3.95,3.793
Jorginho,4.60,MID,Arsenal,14,75,4.00,,2.00,2.00,2.00,3.00,4.00,6.00,8.00,10.00,15.00,3.00,1.357
Kiwior,4.80,DEF,Arsenal,11,,4.00,,2.00,1.00,2.00,6.00,4.00,6.00,7.00,9.00,17.00,3.40,1.727
Martinelli,6.50,MID,Arsenal,27,100,7.14,,3.34,3.22,3.34,4.87,7.14,10.48,13.70,17.04,25.32,5.06,3.741
Nwaneri,4.50,MID,Arsenal,22,100,5.93,,2.82,2.75,2.82,4.15,5.93,8.75,11.50,14.32,21.33,4.27,2.545
Ødegaard,8.20,MID,Arsenal,24,100,5.85,,2.79,2.72,2.79,4.10,5.85,8.64,11.36,14.15,21.08,4.22,3.292
Raya,5.50,GK,Arsenal,32,100,5.77,,3.13,2.46,3.24,6.71,5.77,8.89,11.35,14.60,24.22,4.84,3.844
Rice,6.20,MID,Arsenal,30,100,5.88,,2.81,2.73,2.81,4.12,5.88,8.69,11.42,14.23,21.19,4.24,3.233
Saka,10.50,MID,Arsenal,19,100,10.69,,4.86,4.59,4.86,6.98,10.69,15.56,20.15,25.01,37.00,7.40,6.158
Saliba,6.50,DEF,Arsenal,30,100,4.81,,2.35,1.31,2.35,6.48,4.81,7.15,8.47,10.81,19.65,3.93,4.000
Thomas,4.90,MID,Arsenal,30,100,5.95,,2.83,2.76,2.83,4.16,5.95,8.79,11.54,14.38,21.42,4.28,3.233
Tierney,4.30,DEF,Arsenal,8,100,4.00,,2.00,1.00,2.00,6.00,4.00,6.00,7.00,9.00,17.00,3.40,1.625
Tomiyasu,4.80,DEF,Arsenal,1,0,4.00,,2.00,1.00,2.00,6.00,4.00,6.00,7.00,9.00,17.00,3.40,1.000
Trossard,6.70,MID,Arsenal,32,100,6.71,,3.16,3.05,3.16,4.61,6.71,9.87,12.92,16.08,23.92,4.78,3.500
White,6.10,DEF,Arsenal,12,100,4.50,,2.22,1.20,2.22,6.30,4.50,6.72,7.92,10.13,18.66,3.73,2.583
Zinchenko,4.80,DEF,Arsenal,11,100,4.00,,2.00,1.00,2.00,6.00,4.00,6.00,7.00,9.00,17.00,3.40,2.273
Neto,4.10,GK,Arsenal,2,100,7.49,,4.23,3.89,4.46,7.40,7.49,11.73,15.62,20.09,31.29,6.26,3.500
Sterling,6.70,MID,Arsenal,13,100,4.93,,2.40,2.36,2.40,3.55,4.93,7.33,9.69,12.09,18.06,3.61,1.615
Calafiori,5.80,DEF,Arsenal,17,0,5.78,,2.76,1.69,2.76,7.06,5.78,8.54,10.23,12.99,22.86,4.57,2.176
Lewis-Skelly,4.50,MID,Arsenal,17,100,4.59,,2.25,2.23,2.25,3.35,4.59,6.85,9.08,11.33,16.95,3.39,1.588
Merino,6.10,MID,Arsenal,24,100,6.78,,3.19,3.08,3.19,4.65,6.78,9.96,13.04,16.23,24.13,4.83,3.375
Oulad M'hand,4.50,MID,Arsenal,0,,4.00,,2.00,2.00,2.00,3.00,4.00,6.00,8.00,10.00,15.00,3.00,0.000
Setford,4.50,GK,Arsenal,0,,4.00,,2.00,1.00,2.00,6.00,4.00,6.00,7.00,9.00,17.00,3.40,0.000
Kacurri,4.00,DEF,Arsenal,0,0,4.00,,2.00,1.00,2.00,6.00,4.00,6.00,7.00,9.00,17.00,3.40,0.000
Kabia,4.50,MID,Arsenal,0,,4.00,,2.00,2.00,2.00,3.00,4.00,6.00,8.00,10.00,15.00,3.00,0.000
Nichols,4.00,DEF,Arsenal,0,,4.00,,2.00,1.00,2.00,6.00,4.00,6.00,7.00,9.00,17.00,3.40,0.000
Butler-Oyedeji,4.50,FWD,Arsenal,0,,4.00,,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,14.00,2.80,0.000
Porter,4.00,GK,Arsenal,0,,4.00,,2.00,1.00,2.00,6.00,4.00,6.00,7.00,9.00,17.00,3.40,0.000
Gower,4.50,MID,Arsenal,0,,4.00,,2.00,2.00,2.00,3.00,4.00,6.00,8.00,10.00,15.00,3.00,0.000
Jack Henry-Francis,4.50,MID,Arsenal,0,,4.00,,2.00,2.00,2.00,3.00,4.00,6.00,8.00,10.00,15.00,3.00,0.000
Bailey,6.20,MID,Aston Villa,23,75,4.85,,2.43,2.42,2.46,2.44,4.85,7.28,9.70,12.16,17.03,3.41,2.000
Barkley,5.20,MID,Aston Villa,16,100,6.00,,3.02,2.99,3.08,3.04,6.00,9.01,12.00,15.08,21.13,4.23,2.500
Barrenechea,4.90,MID,Aston Villa,0,0,4.00,,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,14.00,2.80,0.000
Buendia,5.10,MID,Aston Villa,12,0,4.00,,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,14.00,2.80,0.917
Cash,4.40,DEF,Aston Villa,21,100,2.76,,2.39,1.38,1.41,2.40,2.76,5.15,6.52,7.94,11.72,2.34,2.524
Dendoncker,4.50,MID,Aston Villa,0,0,4.00,,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,14.00,2.80,0.000
Diaby,6.50,MID,Aston Villa,0,0,4.00,,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,14.00,2.80,0.000
Diego Carlos,4.50,DEF,Aston Villa,10,0,2.00,,2.00,1.00,1.00,2.00,2.00,4.00,5.00,6.00,9.00,1.80,2.100
Digne,4.50,DEF,Aston Villa,29,,2.92,,2.47,1.45,1.50,2.48,2.92,5.39,6.84,8.34,12.28,2.46,2.793
Dobbin,5.00,MID,Aston Villa,0,0,4.00,,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,14.00,2.80,0.000
Duran,5.70,FWD,Aston Villa,20,0,6.48,,3.27,3.23,3.35,3.29,6.48,9.75,12.98,16.33,22.88,4.58,2.650
Gauci,4.00,GK,Aston Villa,0,0,2.00,,2.00,1.00,1.00,2.00,2.00,4.00,5.00,6.00,9.00,1.80,0.000
Hause,3.90,DEF,Aston Villa,0,,2.00,,2.00,1.00,1.00,2.00,2.00,4.00,5.00,6.00,9.00,1.80,0.000
Iling Jr,5.40,MID,Aston Villa,0,0,4.00,,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,14.00,2.80,0.000
Kamara,5.00,MID,Aston Villa,19,100,4.00,,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,14.00,2.80,1.842
Kesler-Hayden,4.00,DEF,Aston Villa,0,0,2.00,,2.00,1.00,1.00,2.00,2.00,4.00,5.00,6.00,9.00,1.80,0.000
Konsa,4.40,DEF,Aston Villa,28,100,2.38,,2.19,1.19,1.21,2.20,2.38,4.57,5.76,6.97,10.36,2.07,2.607
Maatsen,4.50,DEF,Aston Villa,23,100,2.46,,2.24,1.23,1.25,2.24,2.46,4.70,5.93,7.18,10.65,2.13,1.522
Marschall,4.00,GK,Aston Villa,0,0,2.00,,2.00,1.00,1.00,2.00,2.00,4.00,5.00,6.00,9.00,1.80,0.000
Martinez,5.00,GK,Aston Villa,31,100,4.13,,2.92,1.97,2.03,2.78,4.13,7.05,9.03,11.06,15.92,3.18,2.774
McGinn,5.20,MID,Aston Villa,28,100,4.89,,2.45,2.44,2.48,2.46,4.89,7.34,9.78,12.26,17.17,3.43,2.214
Mings,4.40,DEF,Aston Villa,12,100,2.44,,2.23,1.22,1.24,2.23,2.44,4.67,5.89,7.13,10.58,2.12,3.250
Nedeljkovic,3.90,DEF,Aston Villa,5,0,2.00,,2.00,1.00,1.00,2.00,2.00,4.00,5.00,6.00,9.00,1.80,1.000
Olsen,4.50,GK,Aston Villa,3,100,3.38,,2.60,1.63,1.67,2.51,3.38,5.98,7.61,9.28,13.49,2.70,2.667
Pau,4.20,DEF,Aston Villa,19,100,2.00,,2.00,1.00,1.00,2.00,2.00,4.00,5.00,6.00,9.00,1.80,2.105
Ramsey,5.40,MID,Aston Villa,24,100,5.03,,2.53,2.51,2.56,2.54,5.03,7.56,10.07,12.64,17.70,3.54,2.458
Rogers,5.60,MID,Aston Villa,31,100,7.66,,3.87,3.81,3.99,3.91,7.66,11.53,15.34,19.33,27.09,5.42,4.452
Sinisalo,4.00,GK,Aston Villa,0,0,2.00,,2.00,1.00,1.00,2.00,2.00,4.00,5.00,6.00,9.00,1.80,0.000
Sousa,4.00,DEF,Aston Villa,0,0,2.00,,2.00,1.00,1.00,2.00,2.00,4.00,5.00,6.00,9.00,1.80,0.000
Tielemans,5.50,MID,Aston Villa,32,,5.55,,2.79,2.77,2.84,2.81,5.55,8.34,11.11,13.95,19.55,3.91,3.125
Watkins,8.90,FWD,Aston Villa,32,100,8.10,,4.09,4.03,4.23,4.14,8.10,12.20,16.22,20.45,28.66,5.73,4.875
Disasi,4.20,DEF,Aston Villa,12,100,2.89,,2.45,1.44,1.48,2.46,2.89,5.34,6.78,8.26,12.17,2.43,2.667
Onana,4.80,MID,Aston Villa,20,100,4.89,,2.45,2.44,2.48,2.46,4.89,7.34,9.78,12.26,17.17,3.43,2.350
Rashford,6.70,MID,Aston Villa,23,100,6.85,,3.46,3.41,3.55,3.49,6.85,10.31,13.72,17.27,24.20,4.84,3.739
Bogarde,3.90,DEF,Aston Villa,8,,2.00,,2.00,1.00,1.00,2.00,2.00,4.00,5.00,6.00,9.00,1.80,0.750
Swinkels,4.00,DEF,Aston Villa,0,0,2.00,,2.00,1.00,1.00,2.00,2.00,4.00,5.00,6.00,9.00,1.80,0.000
Zych,4.00,GK,Aston Villa,0,,2.00,,2.00,1.00,1.00,2.00,2.00,4.00,5.00,6.00,9.00,1.80,0.000
Young,4.40,MID,Aston Villa,0,0,4.00,,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,14.00,2.80,0.000
Broggio,4.50,MID,Aston Villa,0,,4.00,,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,14.00,2.80,0.000
Jimoh,4.50,MID,Aston Villa,0,,4.00,,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,14.00,2.80,0.000
Malen,5.30,MID,Aston Villa,9,,6.96,,3.51,3.46,3.60,3.54,6.96,10.47,13.93,17.53,24.57,4.91,3.222
A. Garcia,4.50,DEF,Aston Villa,7,,2.00,,2.00,1.00,1.00,2.00,2.00,4.00,5.00,6.00,9.00,1.80,1.143
M.Asensio,6.20,MID,Aston Villa,7,,9.32,,4.72,4.63,4.89,4.77,9.32,14.04,18.67,23.56,33.02,6.60,4.857
Aarons,4.30,DEF,Bournemouth,3,0,2.00,2.00,2.00,2.00,1.00,5.52,4.00,6.00,8.00,9.00,14.52,2.42,2.667
Adams,4.90,MID,Bournemouth,22,100,2.39,2.39,2.31,2.39,2.37,3.37,4.77,7.08,9.47,11.84,15.22,2.54,2.091
Anthony,4.50,MID,Bournemouth,0,0,2.00,2.00,2.00,2.00,2.00,2.88,4.00,6.00,8.00,10.00,12.88,2.15,0.000
Brooks,4.90,MID,Bournemouth,24,100,2.51,2.51,2.41,2.52,2.49,3.53,5.02,7.43,9.95,12.44,15.98,2.66,1.875
Christie,4.90,MID,Bournemouth,29,0,2.62,2.62,2.50,2.62,2.60,3.67,5.23,7.73,10.36,12.95,16.62,2.77,2.621
Cook,5.00,MID,Bournemouth,31,100,2.52,2.52,2.42,2.52,2.50,3.54,5.03,7.45,9.97,12.47,16.01,2.67,2.484
Enes Ünal,5.40,FWD,Bournemouth,17,0,2.61,2.61,2.49,2.62,2.59,2.78,5.22,7.71,10.33,12.92,15.70,2.62,1.882
Faivre,5.00,MID,Bournemouth,0,0,2.00,2.00,2.00,2.00,2.00,2.88,4.00,6.00,8.00,10.00,12.88,2.15,0.000
H.Traorè,4.50,MID,Bournemouth,0,0,2.00,2.00,2.00,2.00,2.00,2.88,4.00,6.00,8.00,10.00,12.88,2.15,0.000
Hill,3.90,DEF,Bournemouth,10,100,2.28,2.28,2.23,2.29,1.27,5.88,4.56,6.79,9.08,10.35,16.23,2.71,1.700
Jebbison,4.50,FWD,Bournemouth,11,100,2.00,2.00,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,12.00,2.00,0.909
Kerkez,5.30,DEF,Bournemouth,32,100,2.88,2.88,2.72,2.89,1.85,6.65,5.76,8.48,11.37,13.23,19.87,3.31,3.531
Kluivert,6.00,MID,Bournemouth,28,50,4.62,4.62,4.13,4.65,4.54,6.24,9.24,13.37,18.02,22.56,28.80,4.80,5.250
Mepham,4.40,DEF,Bournemouth,0,0,2.00,2.00,2.00,2.00,1.00,5.52,4.00,6.00,8.00,9.00,14.52,2.42,0.000
O.Dango,4.80,MID,Bournemouth,29,100,3.53,3.53,3.24,3.54,3.48,4.83,7.05,10.29,13.83,17.31,22.14,3.69,3.655
Paulsen,4.00,GK,Bournemouth,0,0,2.00,2.00,2.00,2.00,1.00,5.52,4.00,6.00,8.00,9.00,14.52,2.42,0.000
Philip,4.80,MID,Bournemouth,10,0,2.00,2.00,2.00,2.00,2.00,2.88,4.00,6.00,8.00,10.00,12.88,2.15,1.000
Scott,4.70,MID,Bournemouth,15,100,2.00,2.00,2.00,2.00,2.00,2.88,4.00,6.00,8.00,10.00,12.88,2.15,1.400
Semenyo,5.70,MID,Bournemouth,31,100,3.76,3.76,3.43,3.78,3.71,5.14,7.52,10.95,14.73,18.44,23.57,3.93,4.161
Senesi,4.60,DEF,Bournemouth,14,100,2.00,2.00,2.00,2.00,1.00,5.52,4.00,6.00,8.00,9.00,14.52,2.42,1.643
Sinisterra,4.80,MID,Bournemouth,12,25,2.63,2.63,2.51,2.63,2.61,3.68,5.25,7.76,10.40,13.01,16.69,2.78,1.917
Smith,4.40,DEF,Bournemouth,20,100,2.00,2.00,2.00,2.00,1.00,5.52,4.00,6.00,8.00,9.00,14.52,2.42,2.100
Tavernier,5.40,MID,Bournemouth,23,100,3.35,3.35,3.10,3.36,3.31,4.61,6.70,9.80,13.16,16.47,21.08,3.51,3.174
Travers,4.40,GK,Bournemouth,5,0,3.58,3.50,3.98,3.94,3.10,6.91,7.08,11.06,15.00,18.10,25.02,4.17,3.800
Zabarnyi,4.40,DEF,Bournemouth,30,100,2.00,2.00,2.00,2.00,1.00,5.52,4.00,6.00,8.00,9.00,14.52,2.42,2.267
Arrizabalaga,4.60,GK,Bournemouth,25,100,3.02,2.97,3.27,3.25,2.35,6.42,5.99,9.26,12.51,14.86,21.28,3.55,3.400
Huijsen,4.50,DEF,Bournemouth,26,,2.54,2.54,2.44,2.55,1.53,6.21,5.09,7.53,10.08,11.60,17.81,2.97,3.154
J.Araujo,4.30,DEF,Bournemouth,8,100,2.00,2.00,2.00,2.00,1.00,5.52,4.00,6.00,8.00,9.00,14.52,2.42,1.000
Dennis,3.90,GK,Bournemouth,0,,2.00,2.00,2.00,2.00,1.00,5.52,4.00,6.00,8.00,9.00,14.52,2.42,0.000
Evanilson,5.80,FWD,Bournemouth,25,100,3.81,3.81,3.47,3.83,3.75,4.32,7.61,11.08,14.91,18.66,22.97,3.83,4.480
Kinsey,4.00,DEF,Bournemouth,0,,2.00,2.00,2.00,2.00,1.00,5.52,4.00,6.00,8.00,9.00,14.52,2.42,0.000
Winterburn,4.50,MID,Bournemouth,3,,2.00,2.00,2.00,2.00,2.00,2.88,4.00,6.00,8.00,10.00,12.88,2.15,1.000
Harris,4.00,DEF,Bournemouth,0,,2.00,2.00,2.00,2.00,1.00,5.52,4.00,6.00,8.00,9.00,14.52,2.42,0.000
Rees-Dottin,4.50,FWD,Bournemouth,1,,2.00,2.00,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,12.00,2.00,1.000
Akinmboni,4.00,DEF,Bournemouth,0,,2.00,2.00,2.00,2.00,1.00,5.52,4.00,6.00,8.00,9.00,14.52,2.42,0.000
Soler,3.90,DEF,Bournemouth,1,100,2.00,2.00,2.00,2.00,1.00,5.52,4.00,6.00,8.00,9.00,14.52,2.42,1.000
Adu-Adjei,4.50,FWD,Bournemouth,0,,2.00,2.00,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,12.00,2.00,0.000
Sadi,4.50,MID,Bournemouth,0,,2.00,2.00,2.00,2.00,2.00,2.88,4.00,6.00,8.00,10.00,12.88,2.15,0.000
McKenna,4.00,GK,Bournemouth,0,,2.00,2.00,2.00,2.00,1.00,5.52,4.00,6.00,8.00,9.00,14.52,2.42,0.000
Silcott-Duberry,4.50,MID,Bournemouth,1,,2.00,2.00,2.00,2.00,2.00,2.88,4.00,6.00,8.00,10.00,12.88,2.15,1.000
Ajer,4.40,DEF,Brentford,19,100,1.00,1.00,2.00,2.00,1.00,1.00,2.00,4.00,6.00,7.00,8.00,1.33,1.947
Brierley,4.40,MID,Brentford,0,100,2.00,2.00,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,12.00,2.00,0.000
Collins,4.50,DEF,Brentford,33,,1.89,1.79,2.86,3.05,1.84,2.00,3.68,6.54,9.59,11.43,13.43,2.24,3.152
Damsgaard,5.00,MID,Brentford,32,100,3.13,3.01,3.09,3.34,3.07,3.27,6.14,9.23,12.57,15.63,18.90,3.15,3.563
Dasilva,4.80,MID,Brentford,0,0,2.00,2.00,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,12.00,2.00,0.000
Flekken,4.40,GK,Brentford,31,100,2.53,2.55,3.29,3.31,2.49,2.51,5.08,8.37,11.67,14.17,16.68,2.78,3.516
Henry,4.30,DEF,Brentford,1,100,1.00,1.00,2.00,2.00,1.00,1.00,2.00,4.00,6.00,7.00,8.00,1.33,1.000
Hickey,4.30,DEF,Brentford,0,50,1.00,1.00,2.00,2.00,1.00,1.00,2.00,4.00,6.00,7.00,8.00,1.33,0.000
Janelt,4.80,MID,Brentford,31,100,2.44,2.39,2.43,2.52,2.42,2.50,4.84,7.26,9.78,12.20,14.70,2.45,2.323
Jensen,5.30,MID,Brentford,18,100,2.16,2.15,2.16,2.19,2.15,2.18,4.31,6.47,8.66,10.81,13.00,2.17,1.667
Ji-soo,3.90,DEF,Brentford,3,,1.00,1.00,2.00,2.00,1.00,1.00,2.00,4.00,6.00,7.00,8.00,1.33,1.000
Konak,4.40,MID,Brentford,7,,2.00,2.00,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,12.00,2.00,1.000
Lewis-Potter,5.00,MID,Brentford,32,,2.52,2.46,2.50,2.61,2.49,2.58,4.98,7.48,10.10,12.59,15.17,2.53,2.531
Mbeumo,8.00,MID,Brentford,32,100,5.00,4.67,4.88,5.54,4.82,5.36,9.67,14.56,20.10,24.92,30.28,5.05,6.000
Mee,4.20,DEF,Brentford,7,100,1.00,1.00,2.00,2.00,1.00,1.00,2.00,4.00,6.00,7.00,8.00,1.33,1.286
Nørgaard,4.80,MID,Brentford,28,100,2.91,2.81,2.87,3.07,2.86,3.02,5.72,8.59,11.67,14.52,17.54,2.92,2.821
Onyeka,4.90,MID,Brentford,2,0,2.00,2.00,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,12.00,2.00,1.000
Peart-Harris,4.50,MID,Brentford,0,0,2.00,2.00,2.00,2.00,2.00,2.00,4.00,6.00,8.00,10.00,12.00,2.00,0.000
Pinnock,4.40,DEF,Brentford,22,100,1.53,1.48,2.51,2.63,1.50,1.60,3.01,5.52,8.16,9.66,11.26,1.88,2.136
